No,Indonesia,Aceh,,Kamus
5185,Kalian sering bantu memindahkan sapi?,awakkah mandum bantu peupinah leumo?,,
5186,Kalian sering bercanda biar kerja nggak bosan?,awakkah kayem meucanda mangat keureuja han bosan?,,
5187,Kalian sering berkirim hadiah untuk keluarga?,awakkah kayem meukirem hadiyah keu keluarga?,,
5188,Kalian sering berpelukan lama?,awakkah kayem meuum trep?,,
5189,Kalian sering ikut tanam padi di desa?,awakkah kayem ikot pula pade bak gampong?,,
5190,Kalian sering karaoke bareng?,awakkah kayem karaoke sajan?,,
5191,Kalian sering makan malam bersama keluarga?,awakkah kayem pajoh malam sajan keluarga?,,
5192,Kalian sering membuat playlist bersama?,awakkah kayem peugot playlist sajan?,,
5193,Kalian sering minum air hangat pagi hari?,awakkah kayem jep ie hangat beungoh uroe?,,
5194,Kalian sering minum air putih cukup?,awakkah kayem jep ie puteh sep?,,
5195,Kalian sering nonton film bareng?,awakkah kayem nonton film sajan?,,
5196,Kalian sering olahraga bareng?,awakkah kayem olahraga sajan?,,
5197,Kalian sering pakai pupuk kompos?,awakkah kayem pakek pupok kompos?,,
5198,Kalian sering pindah proyek tiap bulan?,awakkah kayem pinah proyek tiep buleuen?,,
5199,Kalian sering sakit lambung?,awakkah kayem saket lambong?,,
5200,Kalian sering sakit mata?,awakkah kayem saket mata?,,
5201,Kalian sering saling menulis pesan panjang?,awakkah kayem saleng tuleh peusan panyang?,,
5202,Kalian sudah atur jadwal keberangkatan?,awakkah ka ato jadwal keberangkatan?,,
5203,Kalian sudah atur jadwal liburan bersama?,awakkah ka ato jadwal liburan sajan?,,
5204,Kalian sudah bayar tagihan listrik?,awakkah ka bayeue tagihan listrek?,,
5205,Kalian sudah belajar pelajaran hari ini?,awakkah ka meurunoe pelajaran uroe nyoe?,,
5206,Kalian sudah belajar untuk ujian?,awakkah ka meurunoe keu ujiyan?,,
5207,Kalian sudah beli kado untuk ibu?,awakkah ka bloe kado keu mak?,,
5208,Kalian sudah beli peta wisata?,awakkah ka bloe peta wisata?,,
5209,Kalian sudah berdiskusi tentang tema presentasi?,awakkah ka meudiskusi teuntang tema presentasi?,,
5210,Kalian sudah berkumur pakai air garam?,awakkah ka meukumur pakek ie garam?,,
5211,Kalian sudah berkumur pakai air hangat?,awakkah ka meukumur pakek ie hangat?,,
5212,Kalian sudah berolahraga hari ini?,awakkah ka meuolahraga uroe nyoe?,,
5213,Kalian sudah bersiap?,awakkah ka meusiap?,,
5214,Kalian sudah bersih-bersih lokasi proyek?,awakkah ka gleh-gleh lokasi proyek?,,
5215,Kalian sudah bersih-bersih ruang kelas?,awakkah ka gleh-gleh ruang glah?,,
5216,Kalian sudah cek enzim hati akhir-akhir ini?,awakkah ka cek enzim ate akhe-akhe nyoe?,,
5217,Kalian sudah cek fungsi paru-paru?,awakkah ka cek fungsi paru-paru?,,
5218,Kalian sudah cek kadar kolesterol di darah?,awakkah ka cek kadar kolesterol bak darah?,,
5219,Kalian sudah cek kesehatan jantung?,awakkah ka cek kesehatan jantong?,,
5220,Kalian sudah cek kesehatan sebelum liburan?,awakkah ka cek kesehatan sigohlom liburan?,,
5221,Kalian sudah cek tekanan darah bulan ini?,awakkah ka cek tekanan darah buleuen nyoe?,,
5222,Kalian sudah cek tekanan darah tahun ini?,awakkah ka cek tekanan darah thon nyoe?,,
5223,Kalian sudah cuci tangan sebelum makan?,awakkah ka rhah jaroe sigohlom pajoh?,,
5224,Kalian sudah divaksin lengkap?,awakkah ka divaksin lengkap?,,
5225,Kalian sudah gajian minggu ini?,awakkah ka gajian minggu nyoe?,,
5226,Kalian sudah istirahat cukup akhir-akhir ini?,awakkah ka piyohhek sep akhe-akhe nyoe?,,
5227,Kalian sudah kontrol ke klinik?,awakkah ka kontrol u klinik?,,
5228,Kalian sudah lama berpacaran?,awakkah ka trep meupacaran?,,
5229,Kalian sudah lama bersahabat?,awakkah ka trep meusahabat?,,
5230,Kalian sudah latihan akustik band?,awakkah ka latihan akustik band?,,
5231,Kalian sudah latihan basket di lapangan?,awakkah ka latihan basket bak lapangan?,,
5232,Kalian sudah latihan berbicara dalam suara robot?,awakkah ka latihan meupeugah_haba lam sue robot?,,
5233,Kalian sudah latihan berbicara dengan tanaman?,awakkah ka latihan meupeugah_haba ngon tanaman?,,
5234,Kalian sudah latihan berdiri dengan satu kaki?,awakkah ka latihan meudong ngon saboh aki?,,
5235,Kalian sudah latihan drama sekolah?,awakkah ka latihan drama sikula?,,
5236,Kalian sudah latihan menari tradisional?,awakkah ka latihan menari tradisional?,,
5237,Kalian sudah latihan menyanyi lagu kebangsaan?,awakkah ka latihan meulagu lagu kebangsaan?,,
5238,Kalian sudah latihan paduan suara gereja?,awakkah ka latihan paduan sue gereja?,,
5239,Kalian sudah latihan paduan suara?,awakkah ka latihan paduan sue?,,
5240,Kalian sudah latihan perkusi?,awakkah ka latihan perkusi?,,
5241,Kalian sudah latihan senam aerobik?,awakkah ka latihan senam aerobik?,,
5242,Kalian sudah latihan tari modern?,awakkah ka latihan tari modern?,,
5243,Kalian sudah latihan teater?,awakkah ka latihan teater?,,
5244,Kalian sudah latihan voli di lapangan?,awakkah ka latihan voli bak lapangan?,,
5245,Kalian sudah latihan yoga bersama boneka?,awakkah ka latihan yoga sajan boneka?,,
5246,Kalian sudah makan bersama keluarga?,awakkah ka pajoh sajan keluarga?,,
5247,Kalian sudah makan camilan sore?,awakkah ka pajoh cemilan seupot?,,
5248,Kalian sudah makan malam belum?,awakkah ka pajoh malam gohlom?,,
5249,Kalian sudah makan siang belum?,awakkah ka pajoh cot_uroe gohlom?,,
5250,Kalian sudah makan siang bersama?,awakkah ka pajoh cot_uroe sajan?,,
5251,Kalian sudah makan siang di warung proyek?,awakkah ka pajoh cot_uroe bak warong proyek?,,
5252,Kalian sudah makan siang hari ini?,awakkah ka pajoh cot_uroe nyoe?,,
5253,Kalian sudah mandi dengan sabun berbentuk bintang?,awakkah ka manoe ngon sabon meubeuntuk bintang?,,
5254,Kalian sudah mandi sore ini?,awakkah ka manoe seupot nyoe?,,
5255,Kalian sudah melatih otot paha?,awakkah ka latih otot pha?,,
5256,Kalian sudah melengkapi dokumen tender?,awakkah ka peulengkap dokumen tender?,,
5257,Kalian sudah memandikan boneka gajah?,awakkah ka peumanoe boneka gajah?,,
5258,Kalian sudah memandikan boneka naga?,awakkah ka peumanoe boneka naga?,,
5259,Kalian sudah memandikan hewan peliharaan?,awakkah ka peumanoe hiweuen peularaan?,,
5260,Kalian sudah memastikan dapur tetap bersih?,awakkah ka peupasti dapu teutap gleh?,,
5261,Kalian sudah memastikan perlengkapan acara siap?,awakkah ka peupasti perlengkapan acara siap?,,
5262,Kalian sudah memastikan semua data akurat?,awakkah ka peupasti mandum data akurat?,,
5263,Kalian sudah memastikan semua jadwal sesuai?,awakkah ka peupasti mandum jadwal sesuai?,,
5264,Kalian sudah memastikan tugas sudah lengkap?,awakkah ka peupasti tugah ka lengkap?,,
5265,Kalian sudah mematikan lampu kamar?,awakkah ka peumate lampu kama?,,
5266,Kalian sudah mematikan lampu ruang_tamu?,awakkah ka peumate lampu seuramoe?,,
5267,Kalian sudah membaca aturan lomba dengan lengkap?,awakkah ka baca atoran lumba ngon lengkap?,,
5268,Kalian sudah membaca aturan lomba sampai tuntas?,awakkah ka baca atoran lumba sampe tuntas?,,
5269,Kalian sudah membaca aturan perlombaan?,awakkah ka baca atoran perlombaan?,,
5270,Kalian sudah membaca buku panduan kegiatan?,awakkah ka baca buku panduan kegiatan?,,
5271,Kalian sudah membaca buku referensi itu?,awakkah ka baca buku referensi nyan?,,
5272,Kalian sudah membaca buku referensi pelajaran itu?,awakkah ka baca buku referensi pelajaran nyan?,,
5273,Kalian sudah membaca informasi terbaru di papan pengumuman?,awakkah ka baca informasi paleng_baro bak papeuen pengumuman?,,
5274,Kalian sudah membaca informasi terbaru?,awakkah ka baca informasi paleng_baro?,,
5275,Kalian sudah membaca jadwal terbaru?,awakkah ka baca jadwal paleng_baro?,,
5276,Kalian sudah membaca jadwal ujian terbaru?,awakkah ka baca jadwal ujiyan paleng_baro?,,
5277,Kalian sudah membaca jadwal ujian yang diumumkan?,awakkah ka baca jadwal ujiyan nyang diumumkan?,,
5278,Kalian sudah membaca panduan lomba dengan lengkap?,awakkah ka baca panduan lumba ngon lengkap?,,
5279,Kalian sudah membaca panduan penggunaan aplikasi?,awakkah ka baca panduan penggunaan aplikasi?,,
5280,Kalian sudah membaca pengumuman terbaru di papan informasi?,awakkah ka baca pengumuman paleng_baro bak papeuen informasi?,,
5281,Kalian sudah membaca pengumuman terbaru?,awakkah ka baca pengumuman paleng_baro?,,
5282,Kalian sudah membaca peraturan lomba?,awakkah ka baca peraturan lumba?,,
5283,Kalian sudah membaca petunjuk lomba kebersihan?,awakkah ka baca petunjuk lumba kebersihan?,,
5284,Kalian sudah membaca petunjuk lomba?,awakkah ka baca petunjuk lumba?,,
5285,Kalian sudah membaca petunjuk penggunaan alat?,awakkah ka baca petunjuk penggunaan alat?,,
5286,Kalian sudah membawa perlengkapan camping?,awakkah ka ba perlengkapan camping?,,
5287,Kalian sudah membayar iuran kebersihan?,awakkah ka bayeue iuran kebersihan?,,
5288,Kalian sudah membereskan barang-barang?,awakkah ka peubereh barang-barang?,,
5289,Kalian sudah membersihkan halaman belakang?,awakkah ka peugleh leun likot?,,
5290,Kalian sudah membersihkan kamar mandi?,awakkah ka peugleh kama manoe?,,
5291,Kalian sudah membersihkan kamar tamu?,awakkah ka peugleh kama jamee?,,
5292,Kalian sudah membersihkan kuku kaki?,awakkah ka peugleh uke aki?,,
5293,Kalian sudah membersihkan kulkas?,awakkah ka peugleh kulkas?,,
5294,Kalian sudah membersihkan loteng rumah?,awakkah ka peugleh loteng rumoh?,,
5295,Kalian sudah membersihkan lubang hidung dengan pelan?,awakkah ka peugleh ruhueng idong ngon peuleheun.,,
5296,Kalian sudah membersihkan meja sebelum pulang?,awakkah ka peugleh meja sigohlom woe?,,
5297,Kalian sudah membersihkan rumah untuk tamu?,awakkah ka peugleh rumoh keu jamee?,,
5298,Kalian sudah membersihkan telinga dengan hati-hati?,awakkah ka peugleh geulinyueng ngon ate-ate?,,
5299,Kalian sudah membersihkan telinga?,awakkah ka peugleh geulinyueng?,,
5300,Kalian sudah membuat daftar belanja kebutuhan keluarga?,awakkah ka peugot daftar belanja kebutuhan keluarga?,,
5301,Kalian sudah membuat daftar belanja kelompok?,awakkah ka peugot daftar belanja kelompok?,,
5302,Kalian sudah membuat daftar belanja mingguan?,awakkah ka peugot daftar belanja mingguan?,,
5303,Kalian sudah membuat daftar perlengkapan yang dibutuhkan?,awakkah ka peugot daftar perlengkapan nyang dibutuhkan?,,
5304,Kalian sudah membuat daftar prioritas tugas?,awakkah ka peugot daftar prioritas tugah?,,
5305,Kalian sudah membuat daftar pustaka?,awakkah ka peugot daftar pustaka?,,
5306,Kalian sudah membuat daftar tugas kuliah?,awakkah ka peugot daftar tugah kuliah?,,
5307,Kalian sudah membuat desain brosur baru?,awakkah ka peugot desain brosur baro?,,
5308,Kalian sudah membuat draft proposal?,awakkah ka peugot draft proposal?,,
5309,Kalian sudah membuat itinerary liburan?,awakkah ka peugot itenary liburan?,,
5310,Kalian sudah membuat jadwal belajar?,awakkah ka peugot jadwal meurunoe?,,
5311,Kalian sudah membuat jadwal latihan rutin?,awakkah ka peugot jadwal latihan rutin?,,
5312,Kalian sudah membuat jadwal periksa kesehatan?,awakkah ka peugot jadwal pareksa kesehatan?,,
5313,Kalian sudah membuat jadwal perjalanan?,awakkah ka peugot jadwal perjalanan?,,
5314,Kalian sudah membuat jadwal piket bersama?,awakkah ka peugot jadwal piket sajan?,,
5315,Kalian sudah membuat jadwal piket kebersihan?,awakkah ka peugot jadwal piket kebersihan?,,
5316,Kalian sudah membuat jadwal piket mingguan?,awakkah ka peugot jadwal piket mingguan?,,
5317,Kalian sudah membuat koleksi perangko baru?,awakkah ka peugot koleksi perangko baro?,,
5318,Kalian sudah membuat list destinasi?,awakkah ka peugot list destinasi?,,
5319,Kalian sudah membuat perencanaan anggaran bulan depan?,awakkah ka peugot perencanaan anggaran buleuen keue?,,
5320,Kalian sudah membuat rencana hari ini?,awakkah ka peugot rencana uroe nyoe?,,
5321,Kalian sudah membuat rencana kegiatan bersama?,awakkah ka peugot rencana kegiatan sajan?,,
5322,Kalian sudah membuat rencana kegiatan mingguan?,awakkah ka peugot rencana kegiatan mingguan?,,
5323,Kalian sudah membuat rencana kumpul keluarga?,awakkah ka peugot rencana sapat keluarga?,,
5324,Kalian sudah membuat rencana penelitian?,awakkah ka peugot rencana penelitian?,,
5325,Kalian sudah membuat rencana trip hiking?,awakkah ka peugot rencana trip hiking?,,
5326,Kalian sudah memeriksa daftar kehadiran rapat?,awakkah ka pareksa daftar kehadiran rapat?,,
5327,Kalian sudah memeriksa jadwal keberangkatan?,awakkah ka pareksa jadwal keberangkatan?,,
5328,Kalian sudah memeriksa kesehatan gigi?,awakkah ka pareksa kesehatan gizi?,,
5329,Kalian sudah memeriksa kesehatan gusi?,awakkah ka pareksa kesehatan gusi?,,
5330,Kalian sudah memeriksa kondisi ruang meeting?,awakkah ka pareksa kondisi ruang meeting?,,
5331,Kalian sudah memeriksa pintu pagar terkunci?,awakkah ka pareksa pinto pageue meugunci?,,
5332,Kalian sudah memeriksa pintu pagar?,awakkah ka pareksa pinto pageue?,,
5333,Kalian sudah memesan dessert untuk penutup?,awakkah ka peusan dessert keu penutop?,,
5334,Kalian sudah memesan jus buah?,awakkah ka peusan jus buah?,,
5335,Kalian sudah memesan katering untuk acara keluarga?,awakkah ka peusan katering keu acara keluarga?,,
5336,Kalian sudah memesan makan siang?,awakkah ka peusan pajoh cot_uroe?,,
5337,Kalian sudah memesan nasi kotak?,awakkah ka peusan bu kotak?,,
5338,Kalian sudah memesan perlengkapan kantor?,awakkah ka peusan perlengkapan kanto?,,
5339,Kalian sudah memesan pizza untuk makan malam?,awakkah ka peusan pizza keu pajoh malam?,,
5340,Kalian sudah memesan tiket pesawat pulang?,awakkah ka peusan tiket kapai_pho jakwoe?,,
5341,Kalian sudah memesan tiket pesawat?,awakkah ka peusan tiket kapai_pho?,,
5342,Kalian sudah memesan tiket pulang pergi?,awakkah ka peusan tiket jak woe?,,
5343,Kalian sudah memesan tiket?,awakkah ka peusan tiket?,,
5344,Kalian sudah memesan transportasi lokal?,awakkah ka peusan transportasi lokal?,,
5345,Kalian sudah memesan transportasi?,awakkah ka peusan transportasi?,,
5346,Kalian sudah memesan vila untuk akhir pekan?,awakkah ka peusan vila keu akhe peukan?,,
5347,Kalian sudah memijat betis setelah lari?,awakkah ka urot beuteh lheueh plueng?,,
5348,Kalian sudah memijat betis yang pegal?,awakkah ka urot beuteh nyang keurawat?,,
5349,Kalian sudah memijat jari-jari kaki?,awakkah ka urot aneuk jaroe-aneuk jaroe aki?,,
5350,Kalian sudah memijat kaki sebelum tidur?,awakkah ka urot aki sigohlom eh?,,
5351,Kalian sudah mempersiapkan acara syukuran?,awakkah ka peusiap acara syukuran?,,
5352,Kalian sudah mempersiapkan alat musik?,awakkah ka peusiap alat musik?,,
5353,Kalian sudah mempersiapkan anggaran acara?,awakkah ka peusiap anggaran acara?,,
5354,Kalian sudah mempersiapkan barang bawaan?,awakkah ka peusiap barang bawaan?,,
5355,Kalian sudah mempersiapkan daftar pustaka lengkap?,awakkah ka peusiap daftar pustaka lengkap?,,
5356,Kalian sudah mempersiapkan hadiah ulang tahun?,awakkah ka peusiap hadiyah ulang thon?,,
5357,Kalian sudah mempersiapkan kostum pertunjukan?,awakkah ka peusiap kostum pertunjukkan?,,
5358,Kalian sudah mempersiapkan laporan akhir?,awakkah ka peusiap laporan akhe?,,
5359,Kalian sudah mempersiapkan laporan mingguan?,awakkah ka peusiap laporan mingguan?,,
5360,Kalian sudah mempersiapkan materi diskusi?,awakkah ka peusiap materi diskusi?,,
5361,Kalian sudah mempersiapkan materi presentasi?,awakkah ka peusiap materi presentasi?,,
5362,Kalian sudah mempersiapkan peralatan olahraga?,awakkah ka peusiap peralatan olahraga?,,
5363,Kalian sudah mempersiapkan perlengkapan camping?,awakkah ka peusiap perlengkapan camping?,,
5364,Kalian sudah mempersiapkan perlengkapan lomba?,awakkah ka peusiap perlengkapan lomba?,,
5365,Kalian sudah mempersiapkan perlengkapan ujian?,awakkah ka peusiap perlengkapan ujiyan?,,
5366,Kalian sudah mempersiapkan perlombaan hobi?,awakkah ka peusiap perlombaan hobi?,,
5367,Kalian sudah mempersiapkan pesta kostum serangga?,awakkah ka peusiap pesta kostum serangga?,,
5368,Kalian sudah mempersiapkan properti panggung?,awakkah ka peusiap properti panggung?,,
5369,Kalian sudah mempersiapkan seminar akhir?,awakkah ka peusiap seminar akhe?,,
5370,Kalian sudah memverifikasi data pelanggan?,awakkah ka verifikasi data pelanggan?,,
5371,Kalian sudah memverifikasi data tugas akhir?,awakkah ka verifikasi data tugah akhe?,,
5372,Kalian sudah memverifikasi kontrak kerja sama?,awakkah ka verifikasi kontrak keureuja sama?,,
5373,Kalian sudah mencatat berat badan bulanan?,awakkah ka catat brat badan buleuenan?,,
5374,Kalian sudah mencatat daftar pengeluaran proyek?,awakkah ka catat daftar pengeluaran proyek?,,
5375,Kalian sudah mencatat hasil diskusi kelompok?,awakkah ka catat hase diskusi kelompok?,,
5376,Kalian sudah mencatat hasil rapat hari ini?,awakkah ka catat hase rapat uroe nyoe?,,
5377,Kalian sudah mencatat informasi penting?,awakkah ka catat informasi peunteng?,,
5378,Kalian sudah mencatat jadwal kegiatan besok?,awakkah ka catat jadwal kegiatan singoh?,,
5379,Kalian sudah mencatat jadwal kegiatan mingguan?,awakkah ka catat jadwal kegiatan mingguan?,,
5380,Kalian sudah mencatat jadwal kegiatan?,awakkah ka catat jadwal kegiatan?,,
5381,Kalian sudah mencatat jadwal kontrol kesehatan?,awakkah ka catat jadwal kontrol kesehatan?,,
5382,Kalian sudah mencatat jadwal kumpul keluarga?,awakkah ka catat jadwal sapat keluarga?,,
5383,Kalian sudah mencatat jadwal pengumpulan tugas?,awakkah ka catat jadwal pengumpulan tugah?,,
5384,Kalian sudah mencatat jadwal piket terbaru?,awakkah ka catat jadwal piket paleng_baro?,,
5385,Kalian sudah mencatat jadwal piket?,awakkah ka catat jadwal piket?,,
5386,Kalian sudah mencatat jadwal presentasi kelompok?,awakkah ka catat jadwal presentasi kelompok?,,
5387,Kalian sudah mencatat jadwal ujian minggu depan?,awakkah ka catat jadwal ujiyan minggu keue?,,
5388,Kalian sudah mencatat jadwal vaksinasi?,awakkah ka catat jadwal vaksinasi?,,
5389,Kalian sudah mencatat keperluan rumah tangga?,awakkah ka catat jadwal keperluan rumoh tangga?,,
5390,Kalian sudah mencatat materi yang dijelaskan?,awakkah ka catat jadwal nyang dipeujeulah?,,
5391,Kalian sudah mencatat poin penting?,awakkah ka catat jadwal poin peunteng?,,
5392,Kalian sudah mencatat poin-poin penting diskusi?,awakkah ka catat jadwal poin-poin peunteng diskusi?,,
5393,Kalian sudah mencatat rencana belajar minggu ini?,awakkah ka catat reuncana meurunoe minggu nyoe?,,
5394,Kalian sudah mencatat semua informasi penting?,awakkah ka catat mandum informasi peunteng?,,
5395,Kalian sudah mencatat semua poin rapat?,awakkah ka catat mandum poin rapat?,,
5396,Kalian sudah mencetak jadwal piket kelas?,awakkah ka cetak jadwal piket glah?,,
5397,Kalian sudah mencetak laporan evaluasi?,awakkah ka cetak jadwal laporan evaluasi?,,
5398,Kalian sudah mencetak lembar ujian?,awakkah ka cetak on ujiyan?,,
5399,Kalian sudah mencetak sertifikat pelatihan?,awakkah ka cetak sertifikat pelatihan?,,
5400,Kalian sudah mencetak tiket masuk tempat wisata?,awakkah ka cetak tiket tamong teumpat wisata?,,
5401,Kalian sudah mencicipi jus wortel dingin?,awakkah ka cicep jus wortel leupie?,,
5402,Kalian sudah mencicipi kue berbentuk dinosaurus?,awakkah ka cicep kuweh meubeuntuk dinosaurus?,,
5403,Kalian sudah mencoba ayam betutu?,awakkah ka cuba ayam betutu?,,
5404,Kalian sudah mencoba banana boat?,awakkah ka cuba banana boat?,,
5405,Kalian sudah mencoba bubur sumsum?,awakkah ka cuba bubor sumsum?,,
5406,Kalian sudah mencoba burger di kafe itu?,awakkah ka cuba burger bak kafe nyan?,,
5407,Kalian sudah mencoba es buah segar?,awakkah ka cuba eh buah segar?,,
5408,Kalian sudah mencoba es kelapa muda?,awakkah ka cuba eh u muda?,,
5409,Kalian sudah mencoba es krim rasa buah durian?,awakkah ka cuba eh krem rasa boh drien?,,
5410,Kalian sudah mencoba es krim rasa jagung bakar?,awakkah ka cuba eh krem rasa jagong bakar?,,
5411,Kalian sudah mencoba es teler?,awakkah ka cuba eh teler?,,
5412,Kalian sudah mencoba kopi susu aren?,awakkah ka cuba kupi susu aren?,,
5413,Kalian sudah mencoba latihan pernapasan?,awakkah ka cuba latihan pernapasan?,,
5414,Kalian sudah mencoba membuat keramik?,awakkah ka cuba peugot keramik?,,
5415,Kalian sudah mencoba minum air warna ungu?,awakkah ka cuba jep ie wareuna ungu?,,
5416,Kalian sudah mencoba minum cokelat pakai pipet raksasa?,awakkah ka cuba jep coklat pakek pipet raksasa?,,
5417,Kalian sudah mencoba naik sepeda satu roda?,awakkah ka cuba ek sitangen saboh ruda?,,
5418,Kalian sudah mencoba nasi liwet?,awakkah ka cuba bu liwet?,,
5419,Kalian sudah mencoba nasi padang di sini?,awakkah ka cuba bu padang di sinoe?,,
5420,Kalian sudah mencoba nasi timbel?,awakkah ka cuba bu timbel?,,
5421,Kalian sudah mencoba resep baru itu?,awakkah ka cuba resep baro nyan?,,
5422,Kalian sudah mencoba sepatu bersuara bebek?,awakkah ka cuba sipatu meusue itek?,,
5423,Kalian sudah mencuci botol minum?,awakkah ka rhah plok jep?,,
5424,Kalian sudah mencuci buah sebelum dimakan?,awakkah ka rhah buah sigohlom dipajoh?,,
5425,Kalian sudah mencuci gelas bekas jus?,awakkah ka rhah glah bekas jus?,,
5426,Kalian sudah mencuci gelas bergambar panda?,awakkah ka rhah glah meugamba panda?,,
5427,Kalian sudah mencuci gelas setelah makan?,awakkah ka rhah glah lheueh pajoh?,,
5428,Kalian sudah mencuci handuk super besar itu?,awakkah ka rhah ija_andok super rayek nyan?,,
5429,Kalian sudah mencuci kaki sebelum naik kasur?,awakkah ka rhah aki sigohlom ek kaso?,,
5430,Kalian sudah mencuci kaki sebelum tidur?,awakkah ka rhah aki sigohlom eh?,,
5431,Kalian sudah mencuci kaki setelah bepergian?,awakkah ka rhah aki lheueh meupergian?,,
5432,Kalian sudah mencuci kaki setelah olahraga?,awakkah ka rhah aki lheueh olahraga?,,
5433,Kalian sudah mencuci mobil akhir pekan ini?,awakkah ka rhah moto akhe peukan nyoe?,,
5434,Kalian sudah mencuci mobil yang kotor?,awakkah ka rhah moto nyang kuto?,,
5435,Kalian sudah mencuci motor yang kotor?,awakkah ka rhah honda nyang kuto?,,
5436,Kalian sudah mencuci pakaian kotor?,awakkah ka rhah pakayan kuto?,,
5437,Kalian sudah mencuci piring bekas pesta?,awakkah ka rhah pingan bekas pesta?,,
5438,Kalian sudah mencuci piring bekas sarapan?,awakkah ka rhah pingan bekas sarapan?,,
5439,Kalian sudah mencuci sarung bantal bergambar hantu?,awakkah ka rhah sarong bantai meugamba hantu?,,
5440,Kalian sudah mencuci sepatu kotor itu?,awakkah ka rhah sipatu kuto nyan?,,
5441,Kalian sudah mencuci sepatu sekolah?,awakkah ka rhah sipatu sikula?,,
5442,Kalian sudah mencuci sepatu?,awakkah ka rhah sipatu?,,
5443,Kalian sudah mencuci seprai kamar?,awakkah ka rhah sepre kama?,,
5444,Kalian sudah mencuci seprai tempat tidur?,awakkah ka rhah sepre teumpat eh?,,
5445,Kalian sudah mencuci tangan pakai sabun?,awakkah ka rhah jaroe pakek sabon?,,
5446,Kalian sudah mencuci tangan sebelum makan bersama?,awakkah ka rhah jaroe sigohlom pajoh sajan?,,
5447,Kalian sudah mencuci tangan sebelum makan siang?,awakkah ka rhah jaroe sigohlom pajoh cot_uroe?,,
5448,Kalian sudah mencuci tangan sebelum makan?,awakkah ka rhah jaroe sigohlom pajoh?,,
5449,Kalian sudah mencuci tangan setelah berkegiatan?,awakkah ka rhah jaroe lheueh meukegiatan?,,
5450,Kalian sudah mencuci tangan?,awakkah ka rhah jaroe?,,
5451,Kalian sudah mencuci taplak meja bergambar sapi?,awakkah ka rhah taplak meja meugamba leumo?,,
5452,Kalian sudah mencuci wajah sebelum salat?,awakkah ka rhah muka sigohlom salat?,,
5453,Kalian sudah menentukan jadwal liburan keluarga?,awakkah ka peuteuntee jadwal liburan keluarga?,,
5454,Kalian sudah menentukan menu makan siang keluarga?,awakkah ka peuteuntee menu pajoh cot_uroe keluarga?,,
5455,Kalian sudah mengatur jadwal kunjungan klien?,awakkah ka ato jadwal kunjongan klien?,,
5456,Kalian sudah mengatur jadwal kunjungan lapangan?,awakkah ka ato jadwal kunjongan lapangan?,,
5457,Kalian sudah mengatur jadwal latihan debat?,awakkah ka ato jadwal latihan debat?,,
5458,Kalian sudah mengecas baterai senter?,awakkah ka cas batre senter?,,
5459,Kalian sudah mengecas lampu darurat?,awakkah ka cas lampu darurat?,,
5460,Kalian sudah mengecat pagar rumah?,awakkah ka cat pageue rumoh?,,
5461,Kalian sudah mengecek daftar barang bawaan?,awakkah ka cek daftar barang bawaan?,,
5462,Kalian sudah mengecek daftar perlengkapan ujian?,awakkah ka cek daftar perlengkapan ujiyan?,,
5463,Kalian sudah mengecek daftar tamu acara?,awakkah ka cek daftar jamee acara?,,
5464,Kalian sudah mengecek jadwal acara?,awakkah ka cek jadwal jadwal acara?,,
5465,Kalian sudah mengecek jadwal keberangkatan?,awakkah ka cek jadwal keberangkatan?,,
5466,Kalian sudah mengecek jadwal piket kebersihan?,awakkah ka cek jadwal piket kebersihan?,,
5467,Kalian sudah mengecek jadwal ujian bulan ini?,awakkah ka cek jadwal ujiyan buleuen nyoe?,,
5468,Kalian sudah mengecek kabel charger?,awakkah ka cek kabel charger?,,
5469,Kalian sudah mengecek kondisi ban mobil?,awakkah ka cek kondisi ban moto?,,
5470,Kalian sudah mengecek kondisi sepeda?,awakkah ka cek kondisi sitangen?,,
5471,Kalian sudah mengecek lampu taman?,awakkah ka cek lampu taman?,,
5472,Kalian sudah mengecek perlengkapan kegiatan?,awakkah ka cek perlengkapan kegiatan?,,
5473,Kalian sudah mengecek pintu pagar belakang?,awakkah ka cek pinto pageue likot?,,
5474,Kalian sudah mengecek stok bahan makanan?,awakkah ka cek stok bahan makanan?,,
5475,Kalian sudah mengecek stok beras di dapur?,awakkah ka cek stok breueh bak dapu?,,
5476,Kalian sudah mengecek stok makanan kucing?,awakkah ka cek stok makanan miong?,,
5477,Kalian sudah mengecek stok obat-obatan?,awakkah ka cek stok ubat-ubatan?,,
5478,Kalian sudah mengecek stok obat?,awakkah ka cek stok ubat?,,
5479,Kalian sudah mengecek stok sembako?,awakkah ka cek stok sembako?,,
5480,Kalian sudah mengecek tugas mingguan?,awakkah ka cek tugah mingguan?,,
5481,Kalian sudah mengenakan seragam lengkap hari ini?,awakkah ka sok seragam lengkap uroe nyoe?,,
5482,Kalian sudah mengenakan seragam lengkap?,awakkah ka sok seragam lengkap?,,
5483,Kalian sudah mengenal semua anggota baru?,awakkah ka turi mandum anggota baro?,,
5484,Kalian sudah mengenal semua anggota kelompok?,awakkah ka turi mandum anggota kelompok?,,
5485,Kalian sudah mengenal semua anggota tim baru?,awakkah ka turi mandum anggota tim baro?,,
5486,Kalian sudah mengenal semua anggota tim?,awakkah ka turi mandum anggota tim?,,
